forecast_date,mae,mape_positive,observed_events,predicted_events
2022-11-19,0.3104647994041443,0.6839285492897034,195.0,134.42742919921875
2022-11-20,0.30762773752212524,0.7303912043571472,196.0,124.53218841552734
2022-11-21,0.3453667163848877,0.7409160137176514,209.0,130.19003295898438
2022-11-22,0.3247510492801666,0.7301809787750244,209.0,126.3023910522461
2022-11-23,0.37509703636169434,0.7521368265151978,243.0,130.3687744140625
2022-11-24,0.3480117917060852,0.7403110861778259,203.0,131.87149047851562
2022-11-25,0.33491265773773193,0.7192209959030151,213.0,125.11862182617188
2022-11-26,0.27123111486434937,0.6737027168273926,187.0,125.84449768066406
2022-11-27,0.26516449451446533,0.7009240984916687,146.0,122.74553680419922
2022-11-28,0.3166159689426422,0.731886088848114,202.0,120.2058334350586
2022-11-29,0.3092799782752991,0.7450547814369202,185.0,119.44322204589844
2022-11-30,0.30600395798683167,0.71517014503479,199.0,118.28369140625
