model,model_label,q,category,metric,mean,std,n,k,note
etas_ref,Reference ETAS,0.05,area_proxy_fairness,allocation_gini_frame,0.9499885818680064,1.1144849329051095e-16,131,,
etas_ref,Reference ETAS,0.1,area_proxy_fairness,allocation_share_gap,0.03830068531999254,0.004718325772375039,131,,
etas_ref,Reference ETAS,0.1,area_proxy_fairness,allocation_to_crime_ratio_gap,2.849332998479335,1.6635717945910993,131,,
etas_ref,Reference ETAS,0.1,area_proxy_fairness,subgroup_fpr_gap,0.4203295860447002,0.028575498396563974,131,,
etas_ref,Reference ETAS,0.1,area_proxy_fairness,subgroup_fnr_gap,0.8694431703356266,0.12279322688789836,131,,
etas_ref,Reference ETAS,0.1,area_proxy_fairness,allocation_gini_frame,0.8999947300929261,0.0,131,,
etas_ref,Reference ETAS,,count,global_mae,0.006160115652145017,,1,,Computed over all frame-cell pairs.
etas_ref,Reference ETAS,,count,global_rmse,0.05694444687800294,,1,,Computed over all frame-cell pairs.
etas_ref,Reference ETAS,,count,global_poisson_deviance,0.03267222487087044,,1,,Computed over all frame-cell pairs.
etas_ref,Reference ETAS,,count,global_rmsle,0.03874437958456436,,1,,Computed over all frame-cell pairs.
etas_ref,Reference ETAS,,count,global_mase,1.0469767807772603,,1,,Computed over all frame-cell pairs.
etas_ref,Reference ETAS,,probability,global_brier_score,0.002970375322785501,,1,,Computed over all frame-cell pairs.
etas_ref,Reference ETAS,,probability,global_log_loss,0.01890604107426537,,1,,Computed over all frame-cell pairs.
etas_ref,Reference ETAS,,probability,global_probability_oe_ratio,0.96067603807837,,1,,Computed over all frame-cell pairs.
etas_ref,Reference ETAS,,count,global_count_oe_ratio,0.9763115714743746,,1,,Computed over all frame-cell pairs.
etas_ref,Reference ETAS,,point_process_approx,global_poisson_log_likelihood,-144531.97968031093,,1,,Computed over all frame-cell pairs.
etas_ref,Reference ETAS,,point_process_approx,global_poisson_log_likelihood_per_event,-6.23897002850345,,1,,Computed over all frame-cell pairs.
etas_ref,Reference ETAS,,hotspot_ranking,area_under_hitrate_curve_q01_q10,0.03625953699660146,,1,,
etas_ref,Reference ETAS,,hotspot_ranking,area_under_pai_curve_q01_q10,0.7608465026128138,,1,,
etas_ref,Reference ETAS,,probability,expected_calibration_error,0.0008683602510555452,,1,,
etas_ref,Reference ETAS,,point_process_approx,cumulative_intensity_rmse,278.68959224339727,,1,,
etas_ref,Reference ETAS,,point_process_approx,cumulative_intensity_max_abs_error,562.083984375,,1,,
etas_ref,Reference ETAS,0.05,area_proxy_fairness,bias_amplification_slope_q05,-0.0009162528535820247,,1,,"Slope over frame index; LAPD area proxy, not demographic subgroup."
