model,model_label,frame_index,forecast_date,q,q_eff,selected_cells,hit_count,hit_rate,miss_rate,area_coverage,hotspot_density_per_km2,pai,gain,lift,pei_star,oracle_hit_count,iou_jaccard,dice,centroid_distance_m
etas_ref,Reference ETAS,67,2022-07-27,0.03,0.030003337607813516,1708,80.0,0.3524229074889868,0.6475770925110131,0.030003337607813516,2.0817069997397866,11.74612345118592,0.3524229074889868,11.74612345118592,0.3524229074889868,227.0,0.030778515389257695,0.059718969555035126,536.2733169515942
etas_ref,Reference ETAS,67,2022-07-27,0.04,0.04001616104836018,2278,96.0,0.42290748898678415,0.5770925110132159,0.04001616104836018,1.8729880011706175,10.568417307089844,0.42290748898678415,10.568417307089844,0.42290748898678415,227.0,0.031002489250961756,0.0601404741000878,536.2733169515942
etas_ref,Reference ETAS,67,2022-07-27,0.05,0.050011418131993605,2847,102.0,0.44933920704845814,0.5506607929515419,0.050011418131993605,1.5923194005385786,8.984732363768028,0.44933920704845814,8.984732363768028,0.44933920704845814,227.0,0.02779783393501805,0.05409202669476642,536.2733169515942
etas_ref,Reference ETAS,67,2022-07-27,0.06,0.06000667521562703,3416,115.0,0.5066079295154186,0.49339207048458145,0.06000667521562703,1.4962269060629716,8.44252623053988,0.5066079295154186,8.44252623053988,0.5066079295154186,227.0,0.030312170110088976,0.05884074941451991,536.2733169515942
etas_ref,Reference ETAS,67,2022-07-27,0.07,0.07000193229926045,3985,124.0,0.5462555066079295,0.45374449339207046,0.07000193229926045,1.382963892374181,7.803434686240805,0.5462555066079295,7.803434686240805,0.5462555066079295,227.0,0.03546836429777835,0.0685069008782936,536.2733169515942
etas_ref,Reference ETAS,67,2022-07-27,0.08,0.08001475573980713,4555,132.0,0.5814977973568282,0.41850220264317184,0.08001475573980713,1.2879619465788512,7.26738202198291,0.5814977973568282,7.26738202198291,0.5814977973568282,227.0,0.03711293260473588,0.07156970362239297,536.2733169515942
etas_ref,Reference ETAS,67,2022-07-27,0.09,0.09001001282344055,5124,136.0,0.5991189427312775,0.4008810572687225,0.09001001282344055,1.1796339665192124,6.656136622338687,0.5991189427312775,6.656136622338687,0.5991189427312775,227.0,0.04731732243229433,0.09035909445745512,536.2733169515942
etas_ref,Reference ETAS,67,2022-07-27,0.1,0.10000526990707397,5693,138.0,0.6079295154185022,0.39207048458149785,0.10000526990707397,1.0773464488553195,6.0789747978621245,0.6079295154185022,6.0789747978621245,0.6079295154185022,227.0,0.05075673680324843,0.09660987177235202,536.2733169515942
etas_ref,Reference ETAS,68,2022-08-10,0.01,0.010012823440546666,570,25.0,0.14450867052023122,0.8554913294797688,0.010012823440546666,1.9493177387914231,14.432359801237197,0.14450867052023122,14.432359801237197,0.14450867052023122,173.0,0.021505376344086023,0.042105263157894736,425.72744749382315
etas_ref,Reference ETAS,68,2022-08-10,0.02,0.02000808052418009,1139,50.0,0.28901734104046245,0.7109826589595376,0.02000808052418009,1.9510291678860598,14.445030880957336,0.28901734104046245,14.445030880957336,0.28901734104046245,173.0,0.02244165170556553,0.043898156277436345,425.72744749382315
etas_ref,Reference ETAS,68,2022-08-10,0.03,0.030003337607813516,1708,62.0,0.3583815028901734,0.6416184971098267,0.030003337607813516,1.6133229247983347,11.944721203178513,0.3583815028901734,11.944721203178513,0.3583815028901734,173.0,0.026442307692307692,0.05152224824355972,425.72744749382315
etas_ref,Reference ETAS,68,2022-08-10,0.04,0.04001616104836018,2278,66.0,0.3815028901734104,0.6184971098265897,0.04001616104836018,1.2876792508047994,9.533720381431841,0.3815028901734104,9.533720381431841,0.3815028901734104,173.0,0.024280575539568347,0.04741000877963126,425.72744749382315
etas_ref,Reference ETAS,68,2022-08-10,0.05,0.050011418131993605,2847,69.0,0.3988439306358382,0.6011560693641618,0.050011418131993605,1.077157241540803,7.975057407554043,0.3988439306358382,7.975057407554043,0.3988439306358382,173.0,0.021711824869908487,0.042500878117316475,425.72744749382315
etas_ref,Reference ETAS,68,2022-08-10,0.06,0.06000667521562703,3416,76.0,0.4393063583815029,0.5606936416184971,0.06000667521562703,0.9888108248763987,7.320958156786831,0.4393063583815029,7.320958156786831,0.4393063583815029,173.0,0.024902490249024904,0.04859484777517564,425.72744749382315
etas_ref,Reference ETAS,68,2022-08-10,0.07,0.07000193229926045,3985,82.0,0.47398843930635837,0.5260115606936416,0.07000193229926045,0.9145406385055068,6.771076508003278,0.47398843930635837,6.771076508003278,0.47398843930635837,173.0,0.029449754585378456,0.057214554579673775,425.72744749382315
etas_ref,Reference ETAS,68,2022-08-10,0.08,0.08001475573980713,4555,86.0,0.49710982658959535,0.5028901734104047,0.08001475573980713,0.8391267227710697,6.212726915096793,0.49710982658959535,6.212726915096793,0.49710982658959535,173.0,0.031009506564056134,0.0601536772777168,425.72744749382315
etas_ref,Reference ETAS,68,2022-08-10,0.09,0.09001001282344055,5124,93.0,0.5375722543352601,0.4624277456647399,0.09001001282344055,0.8066614623991673,5.972360601589257,0.5375722543352601,5.972360601589257,0.5375722543352601,173.0,0.043584521384928715,0.08352849336455893,425.72744749382315
etas_ref,Reference ETAS,68,2022-08-10,0.1,0.10000526990707397,5693,98.0,0.5664739884393064,0.4335260115606936,0.10000526990707397,0.7650721158537775,5.664441373596416,0.5664739884393064,5.664441373596416,0.5664739884393064,173.0,0.047855696668507273,0.091340242402951,425.72744749382315
etas_ref,Reference ETAS,69,2022-08-24,0.01,0.010012823440546666,570,37.0,0.19576719576719576,0.8042328042328042,0.010012823440546666,2.8849902534113063,19.551647637612547,0.19576719576719576,19.551647637612547,0.19576719576719576,189.0,0.03260869565217391,0.06315789473684211,2003.2793441770339
etas_ref,Reference ETAS,69,2022-08-24,0.02,0.02000808052418009,1139,56.0,0.2962962962962963,0.7037037037037037,0.02000808052418009,2.185152668032387,14.808831658699964,0.2962962962962963,14.808831658699964,0.2962962962962963,189.0,0.024741340530814216,0.048287971905179985,2003.2793441770339
etas_ref,Reference ETAS,69,2022-08-24,0.03,0.030003337607813516,1708,72.0,0.38095238095238093,0.6190476190476191,0.030003337607813516,1.873536299765808,12.697000111520017,0.38095238095238093,12.697000111520017,0.38095238095238093,189.0,0.028605841613971696,0.05562060889929742,2003.2793441770339
etas_ref,Reference ETAS,69,2022-08-24,0.04,0.04001616104836018,2278,78.0,0.4126984126984127,0.5873015873015873,0.04001616104836018,1.5218027509511267,10.313293476594618,0.4126984126984127,10.313293476594618,0.4126984126984127,189.0,0.026126126126126126,0.050921861281826165,2003.2793441770339
etas_ref,Reference ETAS,69,2022-08-24,0.05,0.050011418131993605,2847,84.0,0.4444444444444444,0.5555555555555556,0.050011418131993605,1.3113218592670646,8.886859462201928,0.4444444444444444,8.886859462201928,0.4444444444444444,189.0,0.023916561769465924,0.04671584123638918,2003.2793441770339
etas_ref,Reference ETAS,69,2022-08-24,0.06,0.06000667521562703,3416,96.0,0.5079365079365079,0.4920634920634921,0.06000667521562703,1.249024199843872,8.464666741013344,0.5079365079365079,8.464666741013344,0.5079365079365079,189.0,0.02736842105263158,0.05327868852459016,2003.2793441770339
etas_ref,Reference ETAS,69,2022-08-24,0.07,0.07000193229926045,3985,102.0,0.5396825396825397,0.46031746031746035,0.07000193229926045,1.1375993308239232,7.709537750692079,0.5396825396825397,7.709537750692079,0.5396825396825397,189.0,0.031448168758897374,0.06097867001254705,2003.2793441770339
etas_ref,Reference ETAS,69,2022-08-24,0.08,0.08001475573980713,4555,110.0,0.582010582010582,0.417989417989418,0.08001475573980713,1.0733016221490426,7.273790648104588,0.582010582010582,7.273790648104588,0.582010582010582,189.0,0.03323125779743677,0.06432491767288694,2003.2793441770339
etas_ref,Reference ETAS,69,2022-08-24,0.09,0.09001001282344055,5124,117.0,0.6190476190476191,0.38095238095238093,0.09001001282344055,1.014832162373146,6.877541727073343,0.6190476190476191,6.877541727073343,0.6190476190476191,189.0,0.04539426706110374,0.08684621389539422,2003.2793441770339
etas_ref,Reference ETAS,69,2022-08-24,0.1,0.10000526990707397,5693,121.0,0.6402116402116402,0.35978835978835977,0.10000526990707397,0.9446298573296641,6.401779034310214,0.6402116402116402,6.401779034310214,0.6402116402116402,189.0,0.049787940254471696,0.09485332864921833,2003.2793441770339
etas_ref,Reference ETAS,70,2022-09-07,0.01,0.010012823440546666,570,36.0,0.18181818181818182,0.8181818181818181,0.010012823440546666,2.8070175438596494,18.1585326953748,0.18181818181818182,18.1585326953748,0.18181818181818182,198.0,0.02981029810298103,0.05789473684210526,1638.4242278737665
etas_ref,Reference ETAS,70,2022-09-07,0.02,0.02000808052418009,1139,58.0,0.29292929292929293,0.7070707070707071,0.02000808052418009,2.2631938347478293,14.640549480760193,0.29292929292929293,14.640549480760193,0.29292929292929293,198.0,0.024280575539568347,0.04741000877963126,1638.4242278737665
etas_ref,Reference ETAS,70,2022-09-07,0.03,0.030003337607813516,1708,75.0,0.3787878787878788,0.6212121212121212,0.030003337607813516,1.95160031225605,12.624858065431836,0.3787878787878788,12.624858065431836,0.3787878787878788,198.0,0.029535864978902954,0.05737704918032787,1638.4242278737665
etas_ref,Reference ETAS,70,2022-09-07,0.04,0.04001616104836018,2278,84.0,0.42424242424242425,0.5757575757575757,0.04001616104836018,1.6388645010242902,10.601777210205658,0.42424242424242425,10.601777210205658,0.42424242424242425,198.0,0.028442437923250564,0.0553116769095698,1638.4242278737665
etas_ref,Reference ETAS,70,2022-09-07,0.05,0.050011418131993605,2847,91.0,0.4595959595959596,0.5404040404040404,0.050011418131993605,1.4205986808726534,9.18982058023154,0.4595959595959596,9.18982058023154,0.4595959595959596,198.0,0.026871055004508565,0.05233579206181946,1638.4242278737665
etas_ref,Reference ETAS,70,2022-09-07,0.06,0.06000667521562703,3416,95.0,0.4797979797979798,0.5202020202020202,0.06000667521562703,1.2360135310954983,7.995743441440163,0.4797979797979798,7.995743441440163,0.4797979797979798,198.0,0.02845100105374078,0.055327868852459015,1638.4242278737665
etas_ref,Reference ETAS,70,2022-09-07,0.07,0.07000193229926045,3985,101.0,0.51010101010101,0.48989898989898994,0.07000193229926045,1.1264463962080022,7.286956136015107,0.51010101010101,7.286956136015107,0.51010101010101,198.0,0.03291861067910835,0.06373902132998745,1638.4242278737665
etas_ref,Reference ETAS,70,2022-09-07,0.08,0.08001475573980713,4555,106.0,0.5353535353535354,0.46464646464646464,0.08001475573980713,1.0342724722527137,6.690685116810254,0.5353535353535354,6.690685116810254,0.5353535353535354,198.0,0.034287011807447774,0.06630076838638858,1638.4242278737665
etas_ref,Reference ETAS,70,2022-09-07,0.09,0.09001001282344055,5124,109.0,0.5505050505050505,0.4494949494949495,0.09001001282344055,0.9454419290484863,6.116042351698089,0.5505050505050505,6.116042351698089,0.5505050505050505,198.0,0.0442225392296719,0.08469945355191257,1638.4242278737665
etas_ref,Reference ETAS,70,2022-09-07,0.1,0.10000526990707397,5693,114.0,0.5757575757575758,0.4242424242424242,0.10000526990707397,0.8899818490543943,5.757272354672672,0.5757575757575758,5.757272354672672,0.5757575757575758,198.0,0.04959439528023599,0.0945020200245916,1638.4242278737665
etas_ref,Reference ETAS,71,2022-09-21,0.01,0.010012823440546666,570,30.0,0.13636363636363635,0.8636363636363636,0.010012823440546666,2.339181286549708,13.618899521531098,0.13636363636363635,13.618899521531098,0.13636363636363635,220.0,0.026102610261026102,0.05087719298245614,176.93469606132086
