model,model_label,frame_index,forecast_date,q,allocation_share_gap,allocation_to_crime_ratio_gap,subgroup_fpr_gap,subgroup_fnr_gap,allocation_gini_frame
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,8,2020-04-22,0.05,0.03793466807165438,2.02293140649305,0.26662483171684837,1.0,0.9499885818680063
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,8,2020-04-22,0.1,0.032144739153346216,2.3917843968783723,0.37902604868821005,0.8,0.8999947300929261
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,9,2020-05-06,0.01,0.09473684210526316,2.2401002506265666,0.10447163564344039,0.5,0.9899871765594532
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,9,2020-05-06,0.05,0.036178433438707414,2.4811079331627277,0.2578728168951539,0.8,0.9499885818680063
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,9,2020-05-06,0.1,0.03196908484103285,2.866327068329528,0.379739391363374,1.0,0.8999947300929261
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,10,2020-05-20,0.01,0.09473684210526316,13.144736842105264,0.09802065527901316,0.6666666666666667,0.9899871765594532
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,10,2020-05-20,0.05,0.03582718651211801,9.687565858798736,0.25766880364446637,1.0,0.9499885818680063
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,10,2020-05-20,0.1,0.032847356402599684,7.24205164236782,0.3768740930230739,0.8,0.8999947300929261
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,11,2020-06-03,0.01,0.10175438596491228,8.339181286549708,0.11119137891467155,0.4444444444444444,0.9899871765594532
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,11,2020-06-03,0.05,0.03582718651211801,3.928989579674511,0.26624324053513304,0.6349206349206349,0.9499885818680063
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,11,2020-06-03,0.1,0.029334270156332345,2.7453305228643368,0.3828716049143289,0.7222222222222223,0.8999947300929261
