model,model_label,frame_index,forecast_date,q,tp,fp,tn,fn,accuracy,recall_tpr,specificity_tnr,precision_ppv,fpr,fnr,f1,balanced_accuracy,mcc
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,82,2023-02-22,0.05,67,2780,53954,126,0.9489521668101253,0.3471502590673575,0.950999400712095,0.023533544081489288,0.04900059928790496,0.6528497409326425,0.04407894736842105,0.6490748298897262,0.07951015493632282
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,82,2023-02-22,0.1,110,5583,51151,83,0.9004690217295835,0.5699481865284974,0.9015934007825995,0.019321974354470403,0.0984065992174005,0.43005181347150256,0.037376826367652057,0.7357707936555484,0.09136305937443909
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,83,2023-03-08,0.01,26,544,56203,154,0.9877386828745587,0.14444444444444443,0.9904135901457346,0.0456140350877193,0.009586409854265423,0.8555555555555555,0.06933333333333333,0.5674290172950895,0.0760454389162335
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,83,2023-03-08,0.05,63,2784,53963,117,0.9490399985946915,0.35,0.9509401378046417,0.022128556375131718,0.04905986219535834,0.65,0.04162537165510406,0.6504700689023208,0.07751321430201603
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,83,2023-03-08,0.1,95,5598,51149,85,0.9001703936620584,0.5277777777777778,0.9013516133011437,0.016687159669769892,0.09864838669885632,0.4722222222222222,0.0323514387876724,0.7145646955394607,0.08030567605058
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,84,2023-03-22,0.01,32,538,56200,157,0.9877913819452984,0.1693121693121693,0.9905178187458141,0.056140350877192984,0.009482181254185908,0.8306878306878307,0.08432147562582346,0.5799149940289917,0.09234530486767682
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,84,2023-03-22,0.05,83,2764,53974,106,0.9495845556590019,0.43915343915343913,0.9512848531848144,0.029153494906919566,0.04871514681518559,0.5608465608465608,0.054677206851119896,0.6952191461691267,0.10304056779399624
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,84,2023-03-22,0.1,125,5568,51170,64,0.9010662778646337,0.6613756613756614,0.9018647114808418,0.02195678903917091,0.09813528851915823,0.3386243386243386,0.04250255015300918,0.7816201864282516,0.1079970684895232
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,85,2023-04-05,0.01,30,540,56223,134,0.9881602754404764,0.18292682926829268,0.9904867607420327,0.05263157894736842,0.009513239257967338,0.8170731707317073,0.08174386920980926,0.5867067950051627,0.09335258796575972
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,85,2023-04-05,0.05,68,2779,53984,96,0.9494967238744357,0.4146341463414634,0.9510420520409422,0.02388479100807868,0.048957947959057835,0.5853658536585366,0.045167718365991365,0.6828380991912028,0.08991646250132129
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,85,2023-04-05,0.1,98,5595,51168,66,0.9005568535141497,0.5975609756097561,0.9014322710216162,0.017214122606709993,0.09856772897838381,0.4024390243902439,0.03346423083489841,0.7494966233156861,0.08914552321466782
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,86,2023-04-19,0.01,29,541,56179,178,0.9873697893793806,0.14009661835748793,0.9904619181946404,0.05087719298245614,0.009538081805359661,0.8599033816425121,0.07464607464607466,0.5652792682760641,0.07893092566253099
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,86,2023-04-19,0.05,88,2759,53961,119,0.9494440248036959,0.4251207729468599,0.9513575458392102,0.030909729539866527,0.04864245416078984,0.5748792270531401,0.05762933857236411,0.688239159393035,0.1039635687815436
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,86,2023-04-19,0.1,124,5569,51151,83,0.9007149507263689,0.5990338164251208,0.9018159379407616,0.021781134726857544,0.09818406205923837,0.40096618357487923,0.04203389830508475,0.7504248771829412,0.10048726477525598
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,87,2023-05-03,0.01,28,542,56229,128,0.9882305408681293,0.1794871794871795,0.9904528720649628,0.04912280701754386,0.009547127935037255,0.8205128205128205,0.07713498622589532,0.5849700257760712,0.08922980744406492
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,87,2023-05-03,0.05,62,2785,53986,94,0.9494264584467828,0.3974358974358974,0.9509432632858326,0.021777309448542326,0.049056736714167444,0.6025641025641025,0.04129204129204129,0.674189580360865,0.08355369583388844
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,87,2023-05-03,0.1,92,5601,51170,64,0.9004865880864967,0.5897435897435898,0.9013404731288862,0.01616019673282979,0.09865952687111378,0.41025641025641024,0.0314583689519576,0.745542031436238,0.08557200101322007
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,88,2023-05-17,0.01,30,540,56207,150,0.9878792137298645,0.16666666666666666,0.9904840784534865,0.05263157894736842,0.009515921546513472,0.8333333333333334,0.08,0.5785753725600766,0.08861613195677913
