model,model_label,q,category,metric,mean,std,n,k,note
our_vol1,Our vol1 STNPP-GAT,0.09,hotspot_ranking,area_coverage,0.09001001282344055,0.0,131,,
our_vol1,Our vol1 STNPP-GAT,0.09,hotspot_ranking,hotspot_density_per_km2,0.8355961303026752,0.17689017439093363,131,,
our_vol1,Our vol1 STNPP-GAT,0.09,hotspot_ranking,pai,6.064752131713585,0.5103384440165917,131,,
our_vol1,Our vol1 STNPP-GAT,0.09,hotspot_ranking,pei_star,0.5458884171465281,0.045935569890228116,131,,
our_vol1,Our vol1 STNPP-GAT,0.09,hotspot_ranking,iou_jaccard,0.042317611823531144,0.0025058500349209732,131,,
our_vol1,Our vol1 STNPP-GAT,0.09,hotspot_ranking,dice,0.0811880627610824,0.004614933805990626,131,,
our_vol1,Our vol1 STNPP-GAT,0.09,hotspot_ranking,centroid_distance_m,1197.5706860381972,718.9781162929551,131,,
our_vol1,Our vol1 STNPP-GAT,0.1,hotspot_ranking,hit_count,101.41984732824427,21.407027673702526,131,,
our_vol1,Our vol1 STNPP-GAT,0.1,hotspot_ranking,hit_rate,0.5741028496330193,0.04351809311790655,131,,
our_vol1,Our vol1 STNPP-GAT,0.1,hotspot_ranking,miss_rate,0.42589715036698067,0.04351809311790655,131,,
our_vol1,Our vol1 STNPP-GAT,0.1,hotspot_ranking,area_coverage,0.10000526990707395,1.3931061661313868e-17,131,,
our_vol1,Our vol1 STNPP-GAT,0.1,hotspot_ranking,hotspot_density_per_km2,0.7917703794386423,0.16712163220877513,131,,
our_vol1,Our vol1 STNPP-GAT,0.1,hotspot_ranking,pai,5.740725965406446,0.43515799875690614,131,,
our_vol1,Our vol1 STNPP-GAT,0.1,hotspot_ranking,pei_star,0.5741028496330193,0.04351809311790655,131,,
our_vol1,Our vol1 STNPP-GAT,0.1,hotspot_ranking,iou_jaccard,0.050096203567893155,0.002669495741700795,131,,
our_vol1,Our vol1 STNPP-GAT,0.1,hotspot_ranking,dice,0.09540040467535463,0.0048335090481853435,131,,
