model,model_label,frame_index,forecast_date,q,q_eff,selected_cells,hit_count,hit_rate,miss_rate,area_coverage,hotspot_density_per_km2,pai,gain,lift,pei_star,oracle_hit_count,iou_jaccard,dice,centroid_distance_m
our_vol1,Our vol1 STNPP-GAT,34,2021-04-21,0.01,0.010012823440546666,570,18.0,0.10843373493975904,0.891566265060241,0.010012823440546666,1.4035087719298247,10.829486366518706,0.10843373493975904,10.829486366518706,0.10843373493975904,166.0,0.016042780748663103,0.031578947368421054,1781.769019632853
our_vol1,Our vol1 STNPP-GAT,34,2021-04-21,0.02,0.02000808052418009,1139,32.0,0.1927710843373494,0.8072289156626506,0.02000808052418009,1.2486586674470783,9.634661561081906,0.1927710843373494,9.634661561081906,0.1927710843373494,166.0,0.013796172674677348,0.027216856892010536,1781.769019632853
our_vol1,Our vol1 STNPP-GAT,34,2021-04-21,0.03,0.030003337607813516,1708,44.0,0.26506024096385544,0.7349397590361446,0.030003337607813516,1.1449388498568827,8.834358511328688,0.26506024096385544,8.834358511328688,0.26506024096385544,166.0,0.019701492537313434,0.03864168618266979,1781.769019632853
our_vol1,Our vol1 STNPP-GAT,34,2021-04-21,0.04,0.04001616104836018,2278,56.0,0.3373493975903614,0.6626506024096386,0.04001616104836018,1.0925763340161936,8.430328865946667,0.3373493975903614,8.430328865946667,0.3373493975903614,166.0,0.019695613249776187,0.038630377524143986,1781.769019632853
our_vol1,Our vol1 STNPP-GAT,34,2021-04-21,0.05,0.050011418131993605,2847,69.0,0.41566265060240964,0.5843373493975903,0.050011418131993605,1.077157241540803,8.311355009077406,0.41566265060240964,8.311355009077406,0.41566265060240964,166.0,0.02410071942446043,0.047067088162978575,1781.769019632853
our_vol1,Our vol1 STNPP-GAT,34,2021-04-21,0.06,0.06000667521562703,3416,75.0,0.45180722891566266,0.5481927710843373,0.06000667521562703,0.975800156128025,7.529282822155131,0.45180722891566266,7.529282822155131,0.45180722891566266,166.0,0.030623020063357972,0.05942622950819672,1781.769019632853
our_vol1,Our vol1 STNPP-GAT,34,2021-04-21,0.07,0.07000193229926045,3985,81.0,0.4879518072289157,0.5120481927710843,0.07000193229926045,0.903387703889586,6.970547686353949,0.4879518072289157,6.970547686353949,0.4879518072289157,166.0,0.030381383322559793,0.05897114178168131,1781.769019632853
our_vol1,Our vol1 STNPP-GAT,34,2021-04-21,0.08,0.08001475573980713,4555,88.0,0.5301204819277109,0.4698795180722891,0.08001475573980713,0.858641297719234,6.6252840120085175,0.5301204819277109,6.6252840120085175,0.5301204819277109,166.0,0.03841331357574376,0.07398463227222832,1781.769019632853
our_vol1,Our vol1 STNPP-GAT,34,2021-04-21,0.09,0.09001001282344055,5124,93.0,0.5602409638554217,0.43975903614457834,0.09001001282344055,0.8066614623991673,6.224207132981574,0.5602409638554217,6.224207132981574,0.5602409638554217,166.0,0.045607591062136514,0.08723653395784543,1781.769019632853
our_vol1,Our vol1 STNPP-GAT,34,2021-04-21,0.1,0.10000526990707397,5693,96.0,0.5783132530120482,0.42168674698795183,0.10000526990707397,0.7494583992037005,5.782827780470203,0.5783132530120482,5.782827780470203,0.5783132530120482,166.0,0.051047724545370626,0.09713683470929212,1781.769019632853
our_vol1,Our vol1 STNPP-GAT,35,2021-05-05,0.01,0.010012823440546666,570,16.0,0.0935672514619883,0.9064327485380117,0.010012823440546666,1.2475633528265109,9.344741971888785,0.0935672514619883,9.344741971888785,0.0935672514619883,171.0,0.014234875444839857,0.028070175438596492,540.0165473034582
our_vol1,Our vol1 STNPP-GAT,35,2021-05-05,0.02,0.02000808052418009,1139,29.0,0.1695906432748538,0.8304093567251463,0.02000808052418009,1.1315969173739147,8.476107594124322,0.1695906432748538,8.476107594124322,0.1695906432748538,171.0,0.013345195729537367,0.02633889376646181,540.0165473034582
